"DL_CH","SITE_name","CellName","LAT_SITE","LON_SITE","AZ","BW","RD","RD_Normal","separar","MME","MME_ID","lnBtsId","Cell_Id","TE","TM","ALT","PCI","TAC","RAC","rootSeqIndex","AdminCellState","E-UTRAN Avg PRB usage per TTI DL","E-UTRAN avg IP sched thp DL, QCI9","Average CQI","Avg UE distance","Distrito","REFARMING","actUlGrpHop"
2050,"TREBOL_NEW_1","TREBOL_NEW_12",-12.0863,-76.9860,70,50,,0.0700,"|","MME_POOL","0",1924,9242,7,0,36,358,2511,1,"344","1",,,,,"SAN BORJA",,0
2050,"TREBOL_NEW_1","TREBOL_NEW_13",-12.0863,-76.9860,170,50,,0.0700,"|","MME_POOL","0",1924,9243,9,0,36,359,2511,1,"258","1",,,,,"SAN BORJA",,0
2050,"TREBOL_NEW_2","TREBOL_NEW_21",-12.0826,-76.9845,340,50,,0.0700,"|","MME_POOL","0",1982,9821,4,0,20,96,2511,1,"111","1",,,,,"ATE",,0
2050,"TREBOL_NEW_2","TREBOL_NEW_22",-12.0826,-76.9845,80,50,,0.0700,"|","MME_POOL","0",1982,9822,4,0,20,97,2511,1,"454","1",,,,,"ATE",,0
2050,"TREBOL_NEW_2","TREBOL_NEW_23",-12.0826,-76.9845,250,50,,0.0700,"|","MME_POOL","0",1982,9823,4,0,20,98,2511,1,"290","1",,,,,"ATE",,0
2050,"TRES_ARCOS","TRES_ARCOS1",-11.4985,-77.2158,0,50,,0.0700,"|","MME_POOL","0",1435,4351,5,0,30,437,2340,1,"565","1",,,,,"HUARAL",,0
2050,"TRES_ARCOS","TRES_ARCOS2",-11.4985,-77.2158,110,50,,0.0700,"|","MME_POOL","0",1435,4352,3,2,30,436,2340,1,"585","1",,,,,"HUARAL",,0
2050,"TRES_ARCOS","TRES_ARCOS3",-11.4985,-77.2158,250,50,,0.0700,"|","MME_POOL","0",1435,4353,4,0,30,435,2340,1,"646","1",,,,,"HUARAL",,0
2050,"TRESMARIAS","TRESMARIAS1",-12.2007,-77.0098,320,50,,0.0700,"|","MME_POOL","0",1047,471,5,1,28,357,2502,1,"712","1",,,,,"CHORRILLOS",,0
2050,"TRESMARIAS","TRESMARIAS2",-12.2007,-77.0098,80,50,,0.0700,"|","MME_POOL","0",1047,472,5,1,28,358,2502,1,"221","1",,,,,"CHORRILLOS",,0
2050,"TRESMARIAS","TRESMARIAS3",-12.2007,-77.0098,180,50,,0.0700,"|","MME_POOL","0",1047,473,5,1,28,359,2502,1,"575","1",,,,,"CHORRILLOS",,0
