"BAND","name","LAT_SITE","LON_SITE","AZ","BW","RD","CELL-ID","BSCId","BSC_NAME","BCFId","BTSId","TRXId","initialFrequency","preferredBcchMark","status","hoppingSequenceNumber1","bsIdentityCodeBCC","bsIdentityCodeNCC","BTS_State","TRX_STATE","LAC","rac","REFARMING"
1900,"HBTS_BRASIL_1_A 4",-12.0907,-77.0691,0,70,0.1100,6948,249333,"BSC01NMA",640,640,1,613,1,"creado",25,7,1,3,1,1116,88,
1900,"HBTS_BRASIL_1_A 4",-12.0907,-77.0691,0,70,0.1100,6948,249333,"BSC01NMA",640,640,2,668,0,"creado",25,7,1,3,1,1116,88,
1900,"HBTS_BRASIL_1_A 5",-12.0907,-77.0691,0,70,0.1100,6949,249333,"BSC01NMA",640,641,5,617,1,"creado",46,1,6,3,1,1116,88,
1900,"HBTS_BRASIL_1_A 5",-12.0907,-77.0691,0,70,0.1100,6949,249333,"BSC01NMA",640,641,6,665,0,"creado",46,1,6,3,1,1116,88,
1900,"HBTS_FATIMA_REUB_A 4",-12.1326,-77.0231,0,70,0.1100,7955,249333,"BSC01NMA",870,870,,615,1,"no creado",,,,,,1120,92,
1900,"HBTS_FATIMA_REUB_A 5",-12.1326,-77.0231,0,70,0.1100,7956,249333,"BSC01NMA",870,871,,616,1,"no creado",,,,,,1120,92,
1900,"HBTS_FATIMA_REUB_A 6",-12.1326,-77.0231,0,70,0.1100,7957,249333,"BSC01NMA",870,872,,668,1,"no creado",,,,,,1120,92,
1900,"HBTS_GUARDIA_PERUANA 4",-12.1758,-77.0102,0,70,0.1100,17245,363921,"BSC01NLV",1325,1325,,671,1,"no creado",,,,,,1122,122,
1900,"HBTS_GUARDIA_PERUANA 5",-12.1758,-77.0102,0,70,0.1100,17246,363921,"BSC01NLV",1325,1326,,613,1,"no creado",,,,,,1122,122,
1900,"HBTS_GUARDIA_PERUANA 6",-12.1758,-77.0102,0,70,0.1100,17247,363921,"BSC01NLV",1325,1327,,614,1,"no creado",,,,,,1122,122,
1900,"HBTS_LAMPA_REUB 4",-12.0526,-77.0281,34,70,0.1100,193,365581,"BSC03NLV",645,645,,615,1,"no creado",,,,,,1127,127,
1900,"HBTS_LAMPA_REUB 6",-12.0526,-77.0281,34,70,0.1100,198,365581,"BSC03NLV",645,647,,672,1,"no creado",,,,,,1127,127,
1900,"HBTS_LIBERTAD_MAGDALENA 4",-12.0890,-77.0706,0,70,0.1100,1354,249333,"BSC01NMA",634,634,,673,1,"no creado",,,,,,1116,88,
1900,"HBTS_LIBERTAD_MAGDALENA 5",-12.0890,-77.0706,0,70,0.1100,1355,249333,"BSC01NMA",634,635,,670,1,"no creado",,,,,,1116,88,
1900,"HBTS_LIBERTAD_MAGDALENA 6",-12.0890,-77.0706,0,70,0.1100,1356,249333,"BSC01NMA",634,636,,668,1,"no creado",,,,,,1116,88,
1900,"HBTS_NEWTON_VENTANILLA 4",-11.8910,-77.1109,360,70,0.1100,63692,397196,"BSC03NMA",803,803,,615,1,"no creado",,,,,,1010,25,
1900,"HBTS_NEWTON_VENTANILLA 5",-11.8910,-77.1109,360,70,0.1100,63693,397196,"BSC03NMA",803,804,,614,1,"no creado",,,,,,1010,25,
1900,"HBTS_NEWTON_VENTANILLA 6",-11.8910,-77.1109,360,70,0.1100,63694,397196,"BSC03NMA",803,805,,669,1,"no creado",,,,,,1010,25,
1900,"HBTS_PAEZ 4",-12.0450,-76.9755,240,70,0.1100,63798,363922,"BSC02NLV",732,732,,670,1,"no creado",,,,,,1125,125,
1900,"HBTS_PAEZ 5",-12.0450,-76.9755,150,70,0.1100,781,363922,"BSC02NLV",732,733,,613,1,"no creado",,,,,,1125,125,
1900,"HBTS_PAEZ 6",-12.0450,-76.9755,40,70,0.1100,782,363922,"BSC02NLV",732,734,,669,1,"no creado",,,,,,1125,125,
1900,"HBTS_PASTOR_A 4",-12.1571,-77.0201,0,70,0.1100,17182,363921,"BSC01NLV",1276,1276,,669,1,"no creado",,,,,,1121,121,
1900,"HBTS_PASTOR_A 5",-12.1571,-77.0201,0,70,0.1100,17183,363921,"BSC01NLV",1276,1277,,616,1,"no creado",,,,,,1121,121,
